1,Google Mobile Services,Lcom/google/android/gms
2,Google Ads,Lcom/google/ads
3,Unknown,Lcom/sdkbox/services
4,Unknown,Lcom/sdkbox/adbooster
5,Android Support v4,Landroid/support/v4
6,Android Support v7,Landroid/support/v7
7,Firebase,Lcom/google/firebase
8,Unknown,Landroid/support/constraint
9,Unknown,Landroid/support/graphics
10,Multidex,Landroid/support/multidex
11,Android Support Design,Landroid/support/design
12,Google Play,Lcom/android/vending
13,Unknown,Landroid/support/transition
14,Glide,Lcom/bumptech/glide
15,Google Gson,Lcom/google/gson
16,OkHttp,Lcom/squareup/okhttp
17,Crashlytics,Lcom/crashlytics/android
18,butterknife UI Framework,Lbutterknife
19,OKHttp3.0,Lokhttp3
20,RxJava Retrofit,Lrx/internal
21,Unknown,Lcom/localytics
22,Unknown,Lcom/crashlytics
23,ActionBarSherlock,Lcom/actionbarsherlock
24,picasso,Lcom/squareup/picasso
25,Nostra13 Image Loading,Lcom/nostra13
26,Unknown,Lcom/edmodo
27,Unknown,Lcom/example
28,Andengine Game Engine,Lorg/andengine
29,ACRA (Application Crash Reports for Android),Lorg/acra
30,Apache Http,Lorg/apache/http
31,XML Pull,Lorg/xmlpull
32,Nine Old Androids,Lcom/nineoldandroids
33,millennialmedia,Lcom/millennialmedia
34,J256,Lcom/j256
35,Mobeta ListView,Lcom/mobeta
36,Smaato,Lcom/smaato
37,Inmobi,Lcom/inmobi
38,Inneractive,Lcom/inneractive
39,MoPub,Lcom/mopub
40,Facebook,Lcom/facebook
41,Unknown,Lcom/adclient/android/sdk/install
44,Google Protocol Buffers,Lcom/google/protobuf
45,Flurry,Lcom/flurry/android
46,Zip4j,Lnet/lingala/zip4j
47,Jsoup,Lorg/jsoup
48,Fabric,Lio/fabric/sdk/android
49,ZXing ('Zebra Crossing'),Lcom/google/zxing
50,AndroidAsync,Lcom/koushikdutta/async
51,Unknown,Landroid/support/customtabs
52,Unknown,Lcom/onesignal/shortcutbadger
53,Unknown,Lcom/journeyapps
54,Unknown,Lcom/koushikdutta
55,Bolts Base Library,Lbolts
56,OkHttp okio Framework,Lokio
57,Unknown,Lrx/exceptions
58,Unknown,Lcom/mixpanel/android/java_websocket
59,Unknown,Lcom/mixpanel/android/surveys
60,Unknown,Lcom/zopim/android/sdk/widget
61,Unknown,Lcom/zopim/android/sdk/chatlog
62,Unknown,Lcom/zopim/android/sdk/anim
63,Unknown,Lcom/zopim/android/sdk/data
64,Unknown,Lcom/zendesk/util
65,Unknown,Lcom/wang
66,retrofit RESTful Library,Lretrofit
67,Joda Time,Lorg/joda/time
68,Amazon AWS,Lcom/amazonaws
69,Unknown,Lrx/observables
70,Unknown,Lrx/observers
71,Unknown,Lcom/airbnb
72,Unknown,Landroid/support/v8
73,Fmod,Lorg/fmod
74,Unity3D,Lcom/unity3d
75,YouTube Android Player API,Lcom/google/android/youtube/player
76,Digits,Lcom/digits/sdk/vcard
77,AppsFlyer,Lcom/appsflyer
78,Apache Common,Lorg/apache/commons
79,Unknown,Lcom/twitter
80,Unknown,Lcom/digits
81,Unknown,Lpl
82,Unknown,Lat
83,SourceForge ZBar,Lnet/sourceforge/zbar
84,Adobe Air FRE,Lcom/adobe/fre
85,Adobe FlashPlayer,Lcom/adobe/flashruntime
86,Adobe Air,Lcom/adobe/air
87,Adobe FlashPlayer,Lcom/adobe/flashplayer
90,Unknown,Lcom/adobe/mediacore
91,HockeyApp,Lnet/hockeyapp/android
92,,Lmono
93,Mono for Android,Lmono/android
94,urbanairship,Lcom/urbanairship
95,Unknown,Lcom/google/android/exoplayer2/text/dvb
96,Unknown,Lcom/google/android/exoplayer2/trackselection
97,Unknown,Lcom/google/android/exoplayer2/metadata/scte35
98,Unknown,Lcom/google/android/exoplayer2/source/smoothstreaming
99,Flurry SDK,Lcom/flurry/sdk
100,Volley HTTP library,Lcom/android/volley
103,Java-WebSocket,Lorg/java_websocket
104,Fasterxml,Lcom/fasterxml
105,Unknown,Lnet/i2p
106,Unknown,Lde/hdodenhof
107,Unknown,Lcom/ogaclejapan
108,JAudiotagger,Lorg/jaudiotagger
109,comscore,Lcom/comscore
110,PayPal,Lcom/paypal
111,Github,Lcom/github
112,mobfox,Lcom/mobfox
113,Radius Networks,Lcom/radiusnetworks
114,Unity3d Ads,Lcom/unity3d/ads
115,StartApp,Lcom/startapp
116,Amazon Advertisement,Lcom/amazon/device/ads
117,Unknown,Lorg/altbeacon/bluetooth
118,Unknown,Lcom/clevertap
119,Unknown,Lcom/google/android/exoplayer2/text/webvtt
